   1  HYDROGEN
   2  HELIUM
   3  LITHIUM
   4  BERYLLIUM
   5  BORON
   6  AMORPHOUS CARBON
   7  NITROGEN
   8  OXYGEN
   9  FLUORINE
  10  NEON
  11  SODIUM
  12  MAGNESIUM
  13  ALUMINUM
  14  SILICON
  15  PHOSPHORUS
  16  SULFUR
  17  CHLORINE
  18  ARGON
  19  POTASSIUM
  20  CALCIUM
  21  SCANDIUM
  22  TITANIUM
  23  VANADIUM
  24  CHROMIUM
  25  MANGANESE
  26  IRON
  27  COBALT
  28  NICKEL
  29  COPPER
  30  ZINC
  31  GALLIUM
  32  GERMANIUM
  33  ARSENIC
  34  SELENIUM
  35  BROMINE
  36  KRYPTON
  37  RUBIDIUM
  38  STRONTIUM
  39  YTTRIUM
  40  ZIRCONIUM
  41  NIOBIUM
  42  MOLYBDENUM
  43  TECHNETIUM
  44  RUTHENIUM
  45  RHODIUM
  46  PALLADIUM
  47  SILVER
  48  CADMIUM
  49  INDIUM
  50  TIN
  51  ANTIMONY
  52  TELLURIUM
  53  IODINE
  54  XENON
  55  CESIUM
  56  BARIUM
  57  LANTHANUM
  58  CERIUM
  59  PRASEODYMIUM
  60  NEODYMIUM
  61  PROMETHIUM
  62  SAMARIUM
  63  EUROPIUM
  64  GADOLINIUM
  65  TERBIUM
  66  DYSPROSIUM
  67  HOLMIUM
  68  ERBIUM
  69  THULIUM
  70  YTTERBIUM
  71  LUTETIUM
  72  HAFNIUM
  73  TANTALUM
  74  TUNGSTEN
  75  RHENIUM
  76  OSMIUM
  77  IRIDIUM
  78  PLATINUM
  79  GOLD
  80  MERCURY
  81  THALLIUM
  82  LEAD
  83  BISMUTH
  84  POLONIUM
  85  ASTATINE
  86  RADON
  87  FRANCIUM
  88  RADIUM
  89  ACTINIUM
  90  THORIUM
  91  PROTACTINIUM
  92  URANIUM
  93  NEPTUNIUM
  94  PLUTONIUM
  95  AMERICIUM
  96  CURIUM
  97  BERKELIUM
  98  CALIFORNIUM
  99  A-150 TISSUE-EQUIVALENT PLASTIC
 100  ACETONE
 101  ACETYLENE
 102  ADENINE
 103  ADIPOSE TISSUE (ICRP)
 104  AIR, DRY (NEAR SEA LEVEL)
 105  ALANINE
 106  ALUMINUM OXIDE
 107  AMBER
 108  AMMONIA
 109  ANILINE
 110  ANTHRACENE
 111  B-100 BONE-EQUIVALENT PLASTIC
 112  BAKELITE
 113  BARIUM FLUORIDE
 114  BARIUM SULFATE
 115  BENZENE
 116  BERYLLIUM OXIDE
 117  BISMUTH GERMANIUM OXIDE
 118  BLOOD (ICRP)
 119  BONE, COMPACT (ICRU)
 120  BONE, CORTICAL (ICRP)
 121  BORON CARBIDE
 122  BORON OXIDE
 123  BRAIN (ICRP)
 124  BUTANE
 125  N-BUTYL ALCOHOL
 126  C-552 AIR-EQUIVALENT PLASTIC
 127  CADMIUM TELLURIDE
 128  CADMIUM TUNGSTATE
 129  CALCIUM CARBONATE
 130  CALCIUM FLUORIDE
 131  CALCIUM OXIDE
 132  CALCIUM SULFATE
 133  CALCIUM TUNGSTATE
 134  CARBON DIOXIDE
 135  CARBON TETRACHLORIDE
 136  CELLULOSE ACETATE, CELLOPHANE
 137  CELLULOSE ACETATE BUTYRATE
 138  CELLULOSE NITRATE
 139  CERIC SULFATE DOSIMETER SOLUTION
 140  CESIUM FLUORIDE
 141  CESIUM IODIDE
 142  CHLOROBENZENE
 143  CHLOROFORM
 144  CONCRETE, PORTLAND
 145  CYCLOHEXANE
 146  1,2-DICHLOROBENZENE
 147  DICHLORODIETHYL ETHER
 148  1,2-DICHLOROETHANE
 149  DIETHYL ETHER
 150  N,N-DIMETHYL FORMAMIDE
 151  DIMETHYL SULFOXIDE
 152  ETHANE
 153  ETHYL ALCOHOL
 154  ETHYL CELLULOSE
 155  ETHYLENE
 156  EYE LENS (ICRP)
 157  FERRIC OXIDE
 158  FERROBORIDE
 159  FERROUS OXIDE
 160  FERROUS SULFATE DOSIMETER SOLUTION
